Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Pipeline Phase,Approximate Volume Released (m³),Substance,Release Type,Year,WhatHappened,WhyItHappened,Were Pipeline System Components Involved?,Pipeline System Components Involved
INC2016-067,Release of Substance,7/2/2016,Moncton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.11305974,-64.71567652,Maintenance,2000,Natural Gas - Sweet,Gas,2016,Equipment Failure,Maintenance,1,
INC2016-069,Operation Beyond Design Limits,7/5/2016,"Abbotsford, BC",British Columbia,Trans Mountain Pipeline ULC,Closed,49.002718,-122.226017,Operation,Not Applicable,Not Applicable,Not Applicable,2016,External Interference,"Engineering and Planning,Natural or Environmental Forces",1,
INC2016-070,Fire,7/5/2016,City of Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.48236249,-104.5885852,Operation,Not Applicable,Not Applicable,Not Applicable,2016,External Interference,Natural or Environmental Forces,0,
INC2016-071,Operation Beyond Design Limits,7/6/2016,Oakville,Ontario,Enbridge Pipelines Inc.,Closed,43.45792222,-79.71974167,Operation,Not Applicable,Not Applicable,Not Applicable,2016,Natural Force Damage,Natural or Environmental Forces,1,Pumping Station
INC2016-072,Operation Beyond Design Limits,7/6/2016,Oakville,Ontario,Enbridge Pipelines Inc.,Closed,43.41454588,-79.76735273,Operation,Not Applicable,Not Applicable,Not Applicable,2016,"Incorrect Operation,Natural Force Damage",Natural or Environmental Forces,1,Pumping Station
INC2016-073,Operation Beyond Design Limits,7/6/2016,Mississauga,Ontario,Enbridge Pipelines Inc.,Closed,43.53301111,-79.60468333,Operation,Not Applicable,Not Applicable,Not Applicable,2016,"Incorrect Operation,Natural Force Damage",Natural or Environmental Forces,1,Pumping Station
INC2016-074,Operation Beyond Design Limits,7/6/2016,Oakville,Ontario,Enbridge Pipelines Inc.,Closed,43.385213,-79.798679,Operation,Not Applicable,Not Applicable,Not Applicable,2016,Natural Force Damage,Natural or Environmental Forces,1,Pumping Station
INC2016-075,Operation Beyond Design Limits,7/6/2016,"Amisk, AB",Alberta,NOVA Gas Transmission Ltd.,Submitted,52.588887,-111.004248,Operation,Not Applicable,Not Applicable,Not Applicable,2016,"External Interference,Incorrect Operation",Failure in communication,1,
INC2016-076,Operation Beyond Design Limits,7/7/2016,Oakville,Ontario,Enbridge Pipelines Inc.,Closed,43.385213,-79.798679,Operation,Not Applicable,Not Applicable,Not Applicable,2016,Natural Force Damage,Natural or Environmental Forces,1,Pumping Station
INC2016-077,Release of Substance,7/12/2016,"Niagara Falls, ON",Ontario,TransCanada PipeLines Limited,Closed,43.00475402,-79.05071351,Operation,1750,Natural Gas - Sweet,Gas,2016,"Equipment Failure,Incorrect Operation","Failure in communication,Maintenance,Standards and Procedures",1,
INC2016-078,Release of Substance,7/15/2016,Moncton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.11305974,-64.71567652,Operation,3,Natural Gas - Sweet,Gas,2016,Equipment Failure,Natural or Environmental Forces,1,
INC2016-079,Fire,7/20/2016,Nanticoke,Ontario,Enbridge Pipelines Inc.,Closed,43.06191,-79.92035,Maintenance,Not Applicable,Not Applicable,Not Applicable,2016,Incorrect Operation,Human Factors,0,
INC2016-080,Release of Substance,7/21/2016,Jenner,Alberta,NOVA Gas Transmission Ltd.,Closed,50.70313,-111.157945,Operation,40,Natural Gas - Sweet,Gas,2016,Corrosion & Cracking,Maintenance,1,
INC2016-081,Release of Substance,7/21/2016,Edmonton & Sherwood Park,Alberta,Trans Mountain Pipeline ULC,Submitted,53.54290845,-113.3644501,Maintenance,2.3,Diesel Fuel,Liquid,2016,"Defect & Deterioration,Equipment Failure,External Interference","Engineering and Planning,Maintenance",1,
INC2016-082,Operation Beyond Design Limits,7/26/2016,"Pecten, Alberta",Alberta,NOVA Gas Transmission Ltd.,Submitted,49.30721239,-114.0149945,Operation,Not Applicable,Not Applicable,Not Applicable,2016,Other Causes,Engineering and Planning,1,
INC2016-083,Release of Substance,7/27/2016,Slave Lake,Alberta,NOVA Gas Transmission Ltd.,Submitted,55.51043,-113.46468,Operation,52000,Natural Gas - Sweet,Gas,2016,Corrosion & Cracking,Maintenance,0,Pumping Station
INC2016-084,Operation Beyond Design Limits,7/30/2016,"Hardisty, AB",Alberta,Enbridge Pipelines Inc.,Closed,52.63822644,-111.2786457,Operation,Not Applicable,Not Applicable,Not Applicable,2016,"External Interference,Incorrect Operation","Human Factors,Standards and Procedures",1,Pigging
INC2016-085,Fire,8/3/2016,Oshawa,Ontario,TransCanada PipeLines Limited,Closed,43.988,-79.011,Construction,Not Applicable,Not Applicable,Not Applicable,2016,"External Interference,Incorrect Operation",Inadequate Supervision,0,
INC2016-086,Release of Substance,8/3/2016,Boyle,Alberta,NOVA Gas Transmission Ltd.,Initially Submitted,54.85067,-112.82706,Operation,1,Natural Gas - Sweet,Gas,2016,To be determined,To be determined,0,
INC2016-087,Release of Substance,8/6/2016,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.25124,-66.09725,Operation,30,Natural Gas - Sweet,Gas,2016,Equipment Failure,Natural or Environmental Forces,1,
INC2016-088,Release of Substance,8/6/2016,Saint John,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.28066,-66.0027,Operation,8,Natural Gas - Sweet,Gas,2016,Equipment Failure,"Maintenance,Natural or Environmental Forces",1,
INC2016-089,Operation Beyond Design Limits,8/8/2016,"Grande Prairie, Alberta",Alberta,NOVA Gas Transmission Ltd.,Submitted,54.95,-119.194,Operation,Not Applicable,Not Applicable,Not Applicable,2016,External Interference,Engineering and Planning,1,Pumping Station
INC2016-090,Release of Substance,8/11/2016,Hasler Flats and Chetwynd BC,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.9446616,Operation,578,Sulphur Dioxide,Miscellaneous,2016,Corrosion & Cracking,Maintenance,1,Pipeline
INC2016-091,Fire,8/13/2016,"Fort McKay, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,57.34,-111.68,Construction,Not Applicable,Not Applicable,Not Applicable,2016,"External Interference,Incorrect Operation",Tools and Equipment,0,
INC2016-093,Fire,8/14/2016,"Lodgepole ,AB",Alberta,NOVA Gas Transmission Ltd.,Closed,53.10047466,-115.3642386,Construction,Not Applicable,Not Applicable,Not Applicable,2016,"External Interference,Incorrect Operation","Failure in communication,Human Factors,Maintenance,Standards and Procedures,Tools and Equipment",0,
INC2016-095,Fire,8/24/2016,Hope,British Columbia,Trans Mountain Pipeline ULC,Closed,49.487583,-121.183421,Maintenance,Not Applicable,Not Applicable,Not Applicable,2016,External Interference,Maintenance,1,
INC2016-096,Fire,8/24/2016,Burnaby,British Columbia,Trans Mountain Pipeline ULC,Closed,49.26848937,-122.931342,Maintenance,Not Applicable,Not Applicable,Not Applicable,2016,"External Interference,Incorrect Operation","Human Factors,Inadequate Supervision",0,
INC2016-097,Release of Substance,8/25/2016,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Submitted,53.54740268,-113.3557137,Operation,0.0001,Natural Gas Liquids,Gas,2016,Incorrect Operation,"Failure in communication,Human Factors",1,
INC2016-098,Fire,8/25/2016,"Smoky Lake, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,54.09508652,-112.3058493,Operation,Not Applicable,Not Applicable,Not Applicable,2016,External Interference,Tools and Equipment,1,
INC2016-099,Adverse Environmental Effects,8/25/2016,Fort St. John,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.592508,-121.751213,Construction,Not Applicable,Not Applicable,Not Applicable,2016,Other Causes,Natural or Environmental Forces,0,
INC2016-100,Operation Beyond Design Limits,8/25/2016,"Endiang, Alberta",Alberta,NOVA Gas Transmission Ltd.,Submitted,51.939713,-112.073701,Maintenance,Not Applicable,Not Applicable,Not Applicable,2016,Incorrect Operation,Tools and Equipment,1,Pumping Station
INC2016-101,Operation Beyond Design Limits,8/29/2016,"Chisholm, Alberta",Alberta,NOVA Gas Transmission Ltd.,Submitted,54.972665,-114.291775,Operation,Not Applicable,Not Applicable,Not Applicable,2016,"Incorrect Operation,Other Causes","Engineering and Planning,Maintenance",1,Pipeline
INC2016-102,Fire,8/29/2016,"Marten River, Ontario",Ontario,TransCanada PipeLines Limited,Closed,46.655465,-79.710737,Construction,Not Applicable,Not Applicable,Not Applicable,2016,"External Interference,Incorrect Operation",Maintenance,1,
INC2016-103,Release of Substance,8/29/2016,"Patricia, Alberta",Alberta,NOVA Gas Transmission Ltd.,Submitted,50.696946,-111.53471,Operation,1.5,Lube Oil,Liquid,2016,Corrosion & Cracking,Engineering and Planning,1,Compression Station
INC2016-104,Operation Beyond Design Limits,8/30/2016,"Grande Prairie, Alberta",Alberta,NOVA Gas Transmission Ltd.,Submitted,54.830119,-118.646961,Operation,Not Applicable,Not Applicable,Not Applicable,2016,Other Causes,Engineering and Planning,1,
INC2016-105,Release of Substance,9/1/2016,Ile des Chenes,Manitoba,TransCanada PipeLines Limited,Closed,49.72011504,-96.98386154,Operation,0.115,Lube Oil,Liquid,2016,Corrosion & Cracking,Maintenance,1,
INC2016-106,Operation Beyond Design Limits,9/2/2016,"Outlook, SK",Saskatchewan,Enbridge Pipelines Inc.,Submitted,51.3531,-106.9799,Maintenance,Not Applicable,Not Applicable,Not Applicable,2016,Natural Force Damage,Natural or Environmental Forces,0,Pumping Station
INC2016-107,Release of Substance,9/4/2016,"Ignace, Ontario",Ontario,TransCanada PipeLines Limited,Initially Submitted,49.443028,-91.714439,Maintenance,0.001,Natural Gas - Sweet,Gas,2016,To be determined,To be determined,1,Pumping Station
INC2016-108,Release of Substance,9/6/2016,Willow Flats,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.55101914,-122.4538759,Maintenance,113.55,Natural Gas - Sweet,Gas,2016,"Equipment Failure,Incorrect Operation",Maintenance,0,
INC2016-109,Release of Substance,9/12/2016,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.55101914,-122.4538759,Operation,113.55,Natural Gas - Sweet,Gas,2016,"Equipment Failure,Incorrect Operation",Maintenance,0,
INC2016-110,Release of Substance,9/12/2016,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14356248,-120.6685897,Operation,52,Natural Gas - Sweet,Gas,2016,Equipment Failure,Maintenance,0,
INC2016-112,Operation Beyond Design Limits,9/16/2016,"Chisholm, AB",Alberta,NOVA Gas Transmission Ltd.,Submitted,55.069302,-114.442254,Operation,Not Applicable,Not Applicable,Not Applicable,2016,"External Interference,Incorrect Operation",Tools and Equipment,1,
INC2016-113,Fire,9/18/2016,"Burstall, SK",Saskatchewan,TransCanada PipeLines Limited,Closed,50.679196,-109.981615,Maintenance,Not Applicable,Not Applicable,Not Applicable,2016,External Interference,Maintenance,1,
INC2016-115,Release of Substance,9/22/2016,Hardisty Alberta,Alberta,Enbridge Pipelines Inc.,Closed,52.63822644,-111.2786457,Operation,0.0001,Natural Gas Liquids,Gas,2016,Equipment Failure,Tools and Equipment,1,
INC2016-116,Operation Beyond Design Limits,9/26/2016,"Grande Prairie, AB",Alberta,NOVA Gas Transmission Ltd.,Submitted,54.830119,-118.646961,Operation,Not Applicable,Not Applicable,Not Applicable,2016,"External Interference,Other Causes","Engineering and Planning,Tools and Equipment",1,Processing Plant
INC2016-117,"Serious Injury (NEB or TSB),Fire",9/28/2016,Burlington,Ontario,Trans-Northern Pipelines Inc.,Submitted,43.383581,-79.752363,Maintenance,Not Applicable,Not Applicable,Not Applicable,2016,"External Interference,Incorrect Operation","Human Factors,Tools and Equipment",0,
INC2016-118,Release of Substance,9/28/2016,Quesnel,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,52.72947567,-122.4419765,Operation,16645,Natural Gas - Sweet,Gas,2016,Incorrect Operation,Maintenance,1,
INC2016-119,Release of Substance,10/3/2016,Lac La Hache,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Submitted,51.836784,-121.511133,Operation,448,Natural Gas - Sweet,Gas,2016,Corrosion & Cracking,Engineering and Planning,1,
INC2016-120,Release of Substance,10/7/2016,Didsbury,Alberta,NOVA Gas Transmission Ltd.,Closed,51.599421,-114.244235,Maintenance,342,Natural Gas - Sweet,Gas,2016,Equipment Failure,Maintenance,1,
INC2016-121,Release of Substance,10/14/2016,"Hurkett, ON",Ontario,TransCanada PipeLines Limited,Initially Submitted,48.870172,-88.458775,Maintenance,0.001,Natural Gas - Sweet,Gas,2016,To be determined,To be determined,1,
INC2016-122,Fire,10/15/2016,Town of Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.870752,-109.034275,Operation,Not Applicable,Not Applicable,Not Applicable,2016,Equipment Failure,Maintenance,1,Processing Plant
INC2016-124,Release of Substance,10/20/2016,wonowon,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.47138904,-122.1137089,Operation,529960,Natural Gas - Sweet,Gas,2016,Incorrect Operation,"Engineering and Planning,Maintenance",1,
INC2016-125,Release of Substance,10/24/2016,Bronson Settlement,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.1614081,-65.349648,Operation,10,Natural Gas - Sweet,Gas,2016,Equipment Failure,Maintenance,1,
INC2016-126,Release of Substance,10/24/2016,"North Portal, SK",Saskatchewan,Many Islands Pipe Lines (Canada) Limited,Closed,49.0097,-102.589,Operation,24000,Natural Gas - Sweet,Gas,2016,"External Interference,Incorrect Operation",Engineering and Planning,1,Pipeline
INC2016-128,Release of Substance,10/31/2016,Dratmouth,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,44.6791,-63.5921,Operation,1,Natural Gas - Sweet,Gas,2016,Equipment Failure,Maintenance,1,Metering Station
INC2016-130,Serious Injury (NEB or TSB),11/8/2016,Valemount,British Columbia,Trans Mountain Pipeline ULC,Closed,52.870416,-119.296387,Maintenance,Not Applicable,Not Applicable,Not Applicable,2016,"External Interference,Incorrect Operation","Failure in communication,Inadequate Supervision",0,
INC2016-132,Release of Substance,11/17/2016,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Submitted,55.64990496,-122.2072164,Operation,24100,Natural Gas - Sweet,Gas,2016,External Interference,Maintenance,1,
INC2016-133,Operation Beyond Design Limits,11/18/2016,St.Paul,Alberta,NOVA Gas Transmission Ltd.,Submitted,53.960517,-111.806651,Operation,Not Applicable,Not Applicable,Not Applicable,2016,"External Interference,Incorrect Operation",Tools and Equipment,1,Pumping Station
INC2016-135,Fire,11/21/2016,"Sundridge, ON",Ontario,TransCanada PipeLines Limited,Closed,45.70163,-79.41703,Maintenance,Not Applicable,Not Applicable,Not Applicable,2016,"External Interference,Incorrect Operation","Human Factors,Tools and Equipment",1,
INC2016-137,Explosion,11/22/2016,"Taylor, British Columbia",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14630285,-120.6691693,Operation,Not Applicable,Not Applicable,Not Applicable,2016,External Interference,Engineering and Planning,1,Pipeline
INC2016-138,Explosion,11/23/2016,"Carman, MB",Manitoba,TransCanada Keystone Pipeline GP Ltd.,Closed,49.62182529,-98.00927638,Operation,Not Applicable,Not Applicable,Not Applicable,2016,"External Interference,Other Causes",Engineering and Planning,1,Processing Plant
INC2016-139,Operation Beyond Design Limits,11/24/2016,"Grande Prairie, AB",Alberta,NOVA Gas Transmission Ltd.,Submitted,55.128802,-119.389847,Operation,Not Applicable,Not Applicable,Not Applicable,2016,Incorrect Operation,Tools and Equipment,1,Pipeline
INC2016-140,Operation Beyond Design Limits,11/29/2016,Cranbrook,British Columbia,NOVA Gas Transmission Ltd.,Closed,49.3062,-114.03907,Maintenance,Not Applicable,Not Applicable,Not Applicable,2016,"External Interference,Incorrect Operation",Tools and Equipment,0,
INC2016-141,Release of Substance,12/6/2016,Saint John,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.2158179,-65.976788,Operation,3,Natural Gas - Sweet,Gas,2016,Equipment Failure,Maintenance,1,
INC2016-142,Operation Beyond Design Limits,12/6/2016,"Endiang, Alberta",Alberta,NOVA Gas Transmission Ltd.,Submitted,51.939713,-112.073701,Operation,Not Applicable,Not Applicable,Not Applicable,2016,Incorrect Operation,Tools and Equipment,1,Pumping Station
INC2016-143,Operation Beyond Design Limits,12/9/2016,"Gordondale, Alberta",Alberta,NOVA Gas Transmission Ltd.,Submitted,55.81164,-119.27018,Operation,Not Applicable,Not Applicable,Not Applicable,2016,"Equipment Failure,External Interference",Tools and Equipment,1,Pumping Station
INC2016-144,Operation Beyond Design Limits,12/9/2016,"Hardisty, Alberta",Alberta,TransCanada Keystone Pipeline GP Ltd.,Submitted,52.64363744,-111.2775357,Operation,Not Applicable,Not Applicable,Not Applicable,2016,Other Causes,Engineering and Planning,1,Pipeline
INC2016-146,Release of Substance,12/15/2016,"Hearst, ON",Ontario,TransCanada PipeLines Limited,Closed,49.75034152,-84.13337202,Operation,0.1,Natural Gas - Sweet,Gas,2016,Corrosion & Cracking,Engineering and Planning,1,
INC2016-147,Release of Substance,12/19/2016,"Halifax, NS",Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,44.690626,-63.59345,Operation,1,Natural Gas - Sweet,Gas,2016,External Interference,Natural or Environmental Forces,0,
INC2016-148,Release of Substance,12/20/2016,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.65324554,-122.6848231,Operation,72,Natural Gas - Sweet,Gas,2016,"Corrosion & Cracking,External Interference",Maintenance,1,
INC2016-149,Release of Substance,12/23/2016,"Bruce, AB",Alberta,NOVA Gas Transmission Ltd.,Submitted,53.20998,-111.84962,Operation,9246,Natural Gas - Sweet,Gas,2016,Other Causes,Human Factors,1,Pumping Station
INC2017-001,Release of Substance,1/5/2017,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.33159692,-121.6381581,Operation,201,Natural Gas - Sour,Gas,2017,Equipment Failure,Engineering and Planning,1,
INC2017-002,Operation Beyond Design Limits,1/9/2017,"Zama City, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,59.05770283,-118.8719403,Operation,Not Applicable,Not Applicable,Not Applicable,2017,Equipment Failure,Failure in communication,1,Metering Station
INC2017-003,Operation Beyond Design Limits,1/12/2017,Brooks,Alberta,NOVA Gas Transmission Ltd.,Closed,50.54099862,-111.7600391,Operation,Not Applicable,Not Applicable,Not Applicable,2017,External Interference,Engineering and Planning,1,
INC2017-004,Operation Beyond Design Limits,1/16/2017,"Chisholm, Alberta",Alberta,NOVA Gas Transmission Ltd.,Submitted,55.069302,-114.442254,Operation,Not Applicable,Not Applicable,Not Applicable,2017,"External Interference,Incorrect Operation",Tools and Equipment,1,Pumping Station
INC2017-005,Operation Beyond Design Limits,1/16/2017,"Hythe, Alberta",Alberta,NOVA Gas Transmission Ltd.,Closed,55.521447,-119.3545135,Operation,Not Applicable,Not Applicable,Not Applicable,2017,External Interference,Engineering and Planning,1,
INC2017-006,Explosion,1/17/2017,"Milden, SK",Saskatchewan,Enbridge Pipelines Inc.,Closed,51.446111,-107.389167,Operation,Not Applicable,Not Applicable,Not Applicable,2017,"Defect & Deterioration,Equipment Failure",Maintenance,1,Processing Plant
INC2017-007,Release of Substance,1/19/2017,Hasler,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.571667,-121.94,Operation,22.3,Natural Gas - Sour,Gas,2017,Corrosion & Cracking,Maintenance,1,Pipeline
INC2017-008,Fire,1/23/2017,Assiniboia,Saskatchewan,NOVA Chemicals (Canada) Ltd.,Closed,49.552049,-105.985536,Maintenance,Not Applicable,Not Applicable,Not Applicable,2017,External Interference,Maintenance,1,Processing Plant
INC2017-009,Release of Substance,1/25/2017,Port Elgin,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.98805,-64.14431,Operation,1,Natural Gas - Sweet,Gas,2017,Equipment Failure,Maintenance,1,Pipeline
INC2017-010,Release of Substance,1/27/2017,Hasler,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.9446616,Operation,0.4,Sulphur,Miscellaneous,2017,External Interference,Tools and Equipment,1,Pipeline
INC2017-011,Release of Substance,1/28/2017,Hasler Flats,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.9446616,Operation,0.86,Hydrogen Sulphide,Miscellaneous,2017,External Interference,Maintenance,1,Pipeline
INC2017-012,Fire,1/29/2017,"Edson, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,53.574646,-116.560407,Construction,Not Applicable,Not Applicable,Not Applicable,2017,"External Interference,Incorrect Operation","Maintenance,Tools and Equipment",1,
INC2017-013,Fire,1/29/2017,"Edson, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,53.651993,-116.707123,Construction,Not Applicable,Not Applicable,Not Applicable,2017,"External Interference,Incorrect Operation","Failure in communication,Maintenance,Tools and Equipment",1,
INC2017-015,Release of Substance,1/31/2017,Storthoaks,Saskatchewan,Tundra Energy Marketing Limited,Closed,49.285641,-101.651464,Operation,5,Crude Oil - Sweet,Liquid,2017,"Equipment Failure,External Interference,Incorrect Operation","Inadequate Supervision,Maintenance",1,
INC2017-016,Release of Substance,2/2/2017,Hasler Flats,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.9446616,Operation,491,Natural Gas - Sweet,Gas,2017,External Interference,Maintenance,1,Pipeline
INC2017-018,Release of Substance,2/8/2017,Saint John,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.28,-66,Operation,0.001,Natural Gas - Sweet,Gas,2017,Equipment Failure,Natural or Environmental Forces,1,
INC2017-019,Fire,2/8/2017,"Bonanza, Alberta",Alberta,NOVA Gas Transmission Ltd.,Closed,55.8974,-119.4945,Construction,Not Applicable,Not Applicable,Not Applicable,2017,Other Causes,Human Factors,0,
INC2017-020,Fire,2/14/2017,Cleardale,Alberta,NOVA Gas Transmission Ltd.,Closed,56.537345,-119.903125,Construction,Not Applicable,Not Applicable,Not Applicable,2017,Other Causes,Natural or Environmental Forces,1,
INC2017-021,Fire,2/15/2017,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Closed,56.66181,-111.78793,Maintenance,Not Applicable,Not Applicable,Not Applicable,2017,External Interference,Maintenance,1,
INC2017-022,Operation Beyond Design Limits,2/17/2017,Grande Cache,Alberta,NOVA Gas Transmission Ltd.,Closed,54.38978294,-118.7791417,Operation,Not Applicable,Not Applicable,Not Applicable,2017,External Interference,Engineering and Planning,1,
INC2017-023,Release of Substance,2/17/2017,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.51651,-113.37012,Operation,988,Condensate,Liquid,2017,External Interference,Natural or Environmental Forces,1,Pumping Station
INC2017-024,Fire,2/19/2017,"Cleardale, Alberta",Alberta,NOVA Gas Transmission Ltd.,Closed,56.85842,-120.04474,Construction,Not Applicable,Not Applicable,Not Applicable,2017,"External Interference,Incorrect Operation","Human Factors,Maintenance,Tools and Equipment",1,
INC2017-027,Release of Substance,2/24/2017,"Taylor, BC",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14410425,-120.6639331,Operation,5798.4,Natural Gas - Sweet,Gas,2017,"External Interference,Incorrect Operation","Human Factors,Tools and Equipment",1,"Pipeline,Regulating Facility"
INC2017-028,Operation Beyond Design Limits,2/24/2017,"Fort Nelson, British Columbia",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.2836,-120.22,Maintenance,Not Applicable,Not Applicable,Not Applicable,2017,"External Interference,Incorrect Operation","Human Factors,Inadequate Supervision",1,
INC2017-029,Serious Injury (NEB or TSB),2/24/2017,"Bear Lake, British Columbia",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,54.34,-122.44,Construction,Not Applicable,Not Applicable,Not Applicable,2017,Incorrect Operation,"Human Factors,Maintenance",0,
INC2017-030,Fire,2/26/2017,"Edson, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,53.64385,-116.69339,Construction,Not Applicable,Not Applicable,Not Applicable,2017,"External Interference,Incorrect Operation","Engineering and Planning,Maintenance,Standards and Procedures,Tools and Equipment",0,
INC2017-031,Release of Substance,2/28/2017,Hasler Flats and Chetwynd BC,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.9446616,Operation,5.5,Sulphur,Miscellaneous,2017,Incorrect Operation,"Engineering and Planning,Human Factors",1,Pipeline
INC2017-032,Fire,3/2/2017,Fort Simpson,Alberta,Enbridge Pipelines (NW) Inc.,Closed,61.843302,-121.33647,Maintenance,Not Applicable,Not Applicable,Not Applicable,2017,"External Interference,Incorrect Operation",Human Factors,0,
INC2017-033,Release of Substance,3/4/2017,"Bay Tree, AB",Alberta,NOVA Gas Transmission Ltd.,Submitted,55.84,-119.4,Construction,0.99,Drilling Fluid,Miscellaneous,2017,External Interference,Engineering and Planning,0,
INC2017-034,Fire,3/4/2017,"Conklin, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,55.8748,-110.774,Construction,Not Applicable,Not Applicable,Not Applicable,2017,"External Interference,Incorrect Operation",Failure in communication,1,
INC2017-035,Release of Substance,3/4/2017,Hasler ,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.9446616,Operation,0.59,Hydrogen Sulphide,Miscellaneous,2017,Equipment Failure,Maintenance,1,Pipeline
INC2017-036,Release of Substance,3/7/2017,Dawson Creek,British Columbia,Pouce Coupé Pipe Line Ltd. as agent and general partner of the Pembina North Limited Partnership,Closed,55.94382999,-120.19327,Construction,0.001,Natural Gas Liquids,Gas,2017,"External Interference,Incorrect Operation","Human Factors,Tools and Equipment",1,
INC2017-037,Fire,3/8/2017,Brandon,Manitoba,TransCanada PipeLines Limited,Closed,50.07237,-100,Operation,Not Applicable,Not Applicable,Not Applicable,2017,Defect & Deterioration,Engineering and Planning,1,Pipeline
INC2017-038,Fire,3/14/2017,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.86826399,-109.036068,Construction,Not Applicable,Not Applicable,Not Applicable,2017,"External Interference,Incorrect Operation",Human Factors,0,
INC2017-039,Release of Substance,3/15/2017,"Goodlow, BC",Alberta,NOVA Gas Transmission Ltd.,Closed,56.36,-119.92,Operation,25000,Natural Gas - Sweet,Gas,2017,Incorrect Operation,Maintenance,1,Pipeline
INC2017-040,Fire,3/17/2017,Bonanza,Alberta,NOVA Gas Transmission Ltd.,Closed,56.4,-119.9,Construction,Not Applicable,Not Applicable,Not Applicable,2017,"External Interference,Incorrect Operation","Failure in communication,Human Factors",0,
INC2017-041,Serious Injury (NEB or TSB),3/19/2017,Chetwynd,British Columbia,Enbridge G and P Canada Pipelines Inc.,Closed,55.78,-121.53,Construction,Not Applicable,Not Applicable,Not Applicable,2017,"External Interference,Incorrect Operation",Tools and Equipment,0,
INC2017-042,Release of Substance,3/19/2017,"Chetwynd, British Columbia",British Columbia,Enbridge G and P Canada Pipelines Inc.,Submitted,55.649905,-122.207216,Operation,26278.0336,Natural Gas - Sweet,Gas,2017,Equipment Failure,Natural or Environmental Forces,1,Processing Plant
INC2017-043,Release of Substance,3/20/2017,Sherwood Park AB,Alberta,Enbridge Pipelines Inc.,Submitted,53.54740268,-113.3557137,Operation,10,Crude Oil - Synthetic,Liquid,2017,Other Causes,Human Factors,1,
